Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,,,,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureOutOfBagError
'complete_cleared_all_diag_compress_train-weka.filters.unsupervised.attribute.Remove-R20-36,38-42-weka.filters.unsupervised.attribute.NumericToNominal-R4,5,6',1,2,weka.classifiers.trees.RandomForest,'-I 100 -K 0 -S 1 -depth 3 -num-slots 6',1.12E+18,2.01E+07,50000,25000,13968,11032,0,55.872,44.128,0,0.086829278,0.37073316,0.426160486,96.28281376,97.12522395,34216.38372,32547.86613,1668.517588,1.368655349,1.301914645,0.066740704,2172.496943,0.086899878,158732.6981,0.958483483,12767,0.854623288,9982,0.145376712,1698,0.041516517,553,0.561211482,0.958483483,0.707920929,0.181031341,0.685001,0.712343171,0.55872,0.478413569,0.521586431,0.44128,0.488524763,0.55872,0.453830011,0.137869133,0.669262997,0.572260021,0.307969567,0.55872,2.749,0.344,0.312002,0.3432022,9453088,1.07E+07,5331484,100,99.77733333,?,0.4387
'complete_cleared_all_diag_compress_train-weka.filters.unsupervised.attribute.Remove-R20-36,38-42-weka.filters.unsupervised.attribute.NumericToNominal-R4,5,6',1,3,weka.classifiers.trees.RandomForest,'-I 100 -K 0 -S 1 -depth 3 -num-slots 6',1.12E+18,2.01E+07,50000,25000,14001,10999,0,56.004,43.996,0,0.088921669,0.371024608,0.426336248,96.35850556,97.16528148,34216.38372,32563.55266,1652.831063,1.368655349,1.302542106,0.066113243,2134.487766,0.085379511,155955.5715,0.959309309,12778,0.857876712,10020,0.142123288,1660,0.040690691,542,0.560487762,0.959309309,0.707569633,0.178564058,0.6819892,0.706096878,0.56004,0.478601655,0.521398345,0.43996,0.570555847,0.56004,0.45543104,0.143451527,0.669147997,0.572243162,0.309856298,0.56004,2.661,0.318,0.3276021,0.312002,8981295,1.07E+07,5331484,99.988,99.776,?,0.44086
'complete_cleared_all_diag_compress_train-weka.filters.unsupervised.attribute.Remove-R20-36,38-42-weka.filters.unsupervised.attribute.NumericToNominal-R4,5,6',1,1,weka.classifiers.trees.RandomForest,'-I 150 -K 0 -S 1 -depth 3 -num-slots 6',1.12E+18,2.01E+07,50000,25000,13950,11050,0,55.8,44.2,0,0.083763936,0.371189589,0.426891147,96.40216218,97.29338143,34214.72418,32635.94224,1578.781938,1.368588967,1.30543769,0.063151278,2072.873872,0.082914955,151450.1018,0.960660661,12796,0.862328767,10072,0.137671233,1608,0.039339339,524,0.559559209,0.960660661,0.707195755,0.17565489,0.676950612,0.703103855,0.558,0.480938511,0.519061489,0.442,0.54641029,0.558,0.451286521,0.137514148,0.66183391,0.564606873,0.306018081,0.558,4.208,0.526,0.5616036,0.5148033,1.47E+07,1.07E+07,5331484,100,99.7,?,0.43974
'complete_cleared_all_diag_compress_train-weka.filters.unsupervised.attribute.Remove-R20-36,38-42-weka.filters.unsupervised.attribute.NumericToNominal-R4,5,6',1,2,weka.classifiers.trees.RandomForest,'-I 150 -K 0 -S 1 -depth 3 -num-slots 6',1.12E+18,2.01E+07,50000,25000,14025,10975,0,56.1,43.9,0,0.093403324,0.370589851,0.426032134,96.24559506,97.09597155,34216.38372,32531.38296,1685.000761,1.368655349,1.301255318,0.06740003,2200.781364,0.088031255,160799.2891,0.956606607,12742,0.844863014,9868,0.155136986,1812,0.043393393,578,0.563555949,0.956606607,0.709268021,0.189603755,0.685606411,0.712527207,0.561,0.474467521,0.525532479,0.439,0.490928874,0.561,0.4587703,0.144624599,0.670027844,0.57316696,0.312384781,0.561,4.158,0.549,0.5616036,0.5304034,1.40E+07,1.07E+07,5331484,100,99.82666667,?,0.43874
'complete_cleared_all_diag_compress_train-weka.filters.unsupervised.attribute.Remove-R20-36,38-42-weka.filters.unsupervised.attribute.NumericToNominal-R4,5,6',1,3,weka.classifiers.trees.RandomForest,'-I 150 -K 0 -S 1 -depth 3 -num-slots 6',1.12E+18,2.01E+07,50000,25000,14067,10933,0,56.268,43.732,0,0.098454347,0.370546618,0.426003213,96.23436691,97.08938007,34216.38372,32522.65373,1693.72999,1.368655349,1.300906149,0.0677492,2202.04634,0.088081854,160891.7141,0.952102102,12682,0.83989726,9810,0.16010274,1870,0.047897898,638,0.563844923,0.952102102,0.708254216,0.186340531,0.682363062,0.706877523,0.56268,0.472190774,0.527809226,0.43732,0.571224335,0.56268,0.463796843,0.150254063,0.669515256,0.573346384,0.317599762,0.56268,4.162,0.552,0.5304034,0.5616036,1.35E+07,1.07E+07,5331484,99.988,99.75333333,?,0.43832
'complete_cleared_all_diag_compress_train-weka.filters.unsupervised.attribute.Remove-R20-36,38-42-weka.filters.unsupervised.attribute.NumericToNominal-R4,5,6',1,1,weka.classifiers.trees.RandomForest,'-I 200 -K 0 -S 1 -depth 3 -num-slots 6',1.12E+18,2.01E+07,50000,25000,13957,11043,0,55.828,44.172,0,0.084307511,0.371322541,0.426934735,96.4366914,97.30331558,34214.72418,32648.43284,1566.291339,1.368588967,1.305937314,0.062651654,2057.798053,0.082311922,150348.6193,0.961036036,12801,0.861900685,10067,0.138099315,1613,0.038963964,519,0.559777856,0.961036036,0.70747209,0.177090144,0.677528777,0.703548149,0.55828,0.480683362,0.519316638,0.44172,0.546846261,0.55828,0.451533951,0.137993327,0.662347934,0.565190624,0.306042277,0.55828,5.348,0.786,0.8580055,0.7956051,1.94E+07,1.07E+07,5331484,100,99.79466667,?,0.4397
'complete_cleared_all_diag_compress_train-weka.filters.unsupervised.attribute.Remove-R20-36,38-42-weka.filters.unsupervised.attribute.NumericToNominal-R4,5,6',1,2,weka.classifiers.trees.RandomForest,'-I 200 -K 0 -S 1 -depth 3 -num-slots 6',1.12E+18,2.01E+07,50000,25000,13981,11019,0,55.924,44.076,0,0.088276433,0.370616228,0.426020576,96.25244528,97.09333732,34216.38372,32531.50702,1684.876699,1.368655349,1.301260281,0.067395068,2190.515931,0.087620637,160049.2489,0.958258258,12764,0.85239726,9956,0.14760274,1724,0.041741742,556,0.561795775,0.958258258,0.708324084,0.183458539,0.686205611,0.713352525,0.55924,0.477530536,0.522469464,0.44076,0.488832889,0.55924,0.454856997,0.139570352,0.670599173,0.573808526,0.308866824,0.55924,5.678,0.71,0.7956051,0.7176046,1.83E+07,1.07E+07,5331484,100,99.83066667,?,0.43934
'complete_cleared_all_diag_compress_train-weka.filters.unsupervised.attribute.Remove-R20-36,38-42-weka.filters.unsupervised.attribute.NumericToNominal-R4,5,6',1,3,weka.classifiers.trees.RandomForest,'-I 200 -K 0 -S 1 -depth 3 -num-slots 6',1.12E+18,2.01E+07,50000,25000,14093,10907,0,56.372,43.628,0,0.102113261,0.370295405,0.425834667,96.16912465,97.05096719,34216.38372,32498.80119,1717.582527,1.368655349,1.299952048,0.068703301,2237.100664,0.089484027,163452.9455,0.949774775,12651,0.832705479,9726,0.167294521,1954,0.050225225,669,0.565357286,0.949774775,0.708799059,0.190597176,0.682397733,0.706869798,0.56372,0.469635223,0.530364777,0.43628,0.571150912,0.56372,0.466744132,0.153129236,0.669631712,0.573525091,0.320277053,0.56372,5.434,0.717,0.7644049,0.7176046,1.77E+07,1.07E+07,5331484,99.996,99.73733333,?,0.4379
'complete_cleared_all_diag_compress_train-weka.filters.unsupervised.attribute.Remove-R20-36,38-42-weka.filters.unsupervised.attribute.NumericToNominal-R4,5,6',1,1,weka.classifiers.trees.RandomForest,'-I 250 -K 0 -S 1 -depth 3 -num-slots 6',1.12E+18,2.01E+07,50000,25000,13972,11028,0,55.888,44.112,0,0.086265629,0.371342191,0.426942287,96.44179456,97.30503672,34214.72418,32650.13468,1564.589503,1.368588967,1.306005387,0.06258358,2060.836902,0.082433476,150570.6463,0.959684685,12783,0.85890411,10032,0.14109589,1648,0.040315315,537,0.560289283,0.959684685,0.707513491,0.178038698,0.677646634,0.703678838,0.55888,0.479526943,0.520473057,0.44112,0.547811448,0.55888,0.453317545,0.139520682,0.662511647,0.565500355,0.307710474,0.55888,6.754,1.022,1.0764069,0.9984064,2.39E+07,1.07E+07,5331484,100,99.84266667,?,0.43902
'complete_cleared_all_diag_compress_train-weka.filters.unsupervised.attribute.Remove-R20-36,38-42-weka.filters.unsupervised.attribute.NumericToNominal-R4,5,6',1,2,weka.classifiers.trees.RandomForest,'-I 250 -K 0 -S 1 -depth 3 -num-slots 6',1.12E+18,2.01E+07,50000,25000,14028,10972,0,56.112,43.888,0,0.094040918,0.370449514,0.425933198,96.20914828,97.07342321,34216.38372,32517.84259,1698.541131,1.368655349,1.300713703,0.067941645,2214.113722,0.088564549,161773.413,0.955930931,12733,0.842893836,9845,0.157106164,1835,0.044069069,587,0.563956063,0.955930931,0.709398852,0.190662252,0.686240648,0.713429677,0.56112,0.473892308,0.526107692,0.43888,0.490223767,0.56112,0.459350673,0.145262528,0.670545421,0.573821503,0.312908053,0.56112,6.892,1.099,1.1388073,1.092007,2.26E+07,1.07E+07,5331484,100,99.784,?,0.4386
