@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
50,2643,0,20305,105,0.994855,1,0.115173,1,0.884827,0.206557,0.995445,1.004576,0.000281
51,2643,0,20304,106,0.994806,1,0.115178,1,0.884822,0.206565,0.995402,1.004619,0.000284
52,2643,0,20260,150,0.992651,1,0.1154,1,0.8846,0.206921,0.993493,1.006549,0.0003
53,2643,0,20259,151,0.992602,1,0.115405,1,0.884595,0.206929,0.99345,1.006593,0.000308
54,2643,0,20257,153,0.992504,1,0.115415,1,0.884585,0.206945,0.993363,1.006681,0.000308
55,2643,0,20256,154,0.992455,1,0.11542,1,0.88458,0.206953,0.99332,1.006725,0.000313
56,2643,0,20255,155,0.992406,1,0.115425,1,0.884575,0.206961,0.993276,1.006769,0.000322
57,2643,0,20254,156,0.992357,1,0.11543,1,0.88457,0.206969,0.993233,1.006813,0.000326
58,2643,0,20253,157,0.992308,1,0.115435,1,0.884565,0.206978,0.99319,1.006857,0.000326
59,2643,0,20232,178,0.991279,1,0.115541,1,0.884459,0.207148,0.992279,1.007781,0.000327
60,2643,0,20231,179,0.99123,1,0.115546,1,0.884454,0.207156,0.992235,1.007825,0.000328
61,2643,0,20230,180,0.991181,1,0.115551,1,0.884449,0.207164,0.992192,1.00787,0.00033
62,2643,0,20229,181,0.991132,1,0.115556,1,0.884444,0.207172,0.992149,1.007914,0.000338
63,2643,0,20219,191,0.990642,1,0.115607,1,0.884393,0.207253,0.991715,1.008354,0.000344
64,2643,0,20216,194,0.990495,1,0.115622,1,0.884378,0.207278,0.991585,1.008487,0.000346
65,2643,0,20215,195,0.990446,1,0.115627,1,0.884373,0.207286,0.991541,1.008531,0.000358
66,2643,0,20214,196,0.990397,1,0.115632,1,0.884368,0.207294,0.991498,1.008575,0.000361
67,2643,0,20212,198,0.990299,1,0.115642,1,0.884358,0.20731,0.991411,1.008663,0.000377
68,2643,0,20210,200,0.990201,1,0.115652,1,0.884348,0.207327,0.991324,1.008752,0.00038
69,2643,0,20209,201,0.990152,1,0.115657,1,0.884343,0.207335,0.991281,1.008796,0.00038
70,2643,0,20207,203,0.990054,1,0.115667,1,0.884333,0.207351,0.991194,1.008884,0.000386
71,2643,0,20206,204,0.990005,1,0.115672,1,0.884328,0.207359,0.991151,1.008928,0.000394
72,2643,0,20205,205,0.989956,1,0.115678,1,0.884322,0.207367,0.991107,1.008972,0.000398
73,2643,0,20204,206,0.989907,1,0.115683,1,0.884317,0.207375,0.991064,1.009017,0.000401
74,2643,0,20203,207,0.989858,1,0.115688,1,0.884312,0.207384,0.991021,1.009061,0.000403
75,2643,0,20202,208,0.989809,1,0.115693,1,0.884307,0.207392,0.990977,1.009105,0.000439
76,2643,0,20201,209,0.98976,1,0.115698,1,0.884302,0.2074,0.990934,1.009149,0.000441
77,2643,0,20200,210,0.989711,1,0.115703,1,0.884297,0.207408,0.990891,1.009193,0.000443
78,2643,0,20199,211,0.989662,1,0.115708,1,0.884292,0.207416,0.990847,1.009237,0.000447
79,2643,0,20198,212,0.989613,1,0.115713,1,0.884287,0.207424,0.990804,1.009282,0.000463
80,2643,0,20197,213,0.989564,1,0.115718,1,0.884282,0.207432,0.99076,1.009326,0.000474
81,2643,0,20196,214,0.989515,1,0.115723,1,0.884277,0.207441,0.990717,1.00937,0.000477
